control,r_samehh
'100970540140','1'
'100974790141','2'
'100974950141','2'
'100979330148','2'
'100979580148','1'
'100982320142','1'
'100987900148','1'
'100988100140','2'
'100989330142','1'
'100992170144','1'
'100992580144','1'
'100992730148','1'
'100992990148','1'
'101008160147','2'
'101015950144','2'
'101037120140','1'
'101037530140','1'
'101045140148','1'
'101045550148','1'
'101059190147','1'
'101067940141','1'
'101086140141','2'
'101092730142','2'
'101094370140','1'
'101102330141','2'
'101103100149','1'
'101103510149','1'
'101103920140','2'
'101107330143','1'
'101118140143','1'
'101129170149','1'
'101129580149','1'
'101129990140','1'
'101135100147','2'
'101135510147','1'
'101137710148','2'
'101141180145','1'
'101142900146','1'
'101150100145','1'
'101150360145','1'
'101150510145','2'
'101152150144','1'
'101152560144','1'
'101162120448','1'
'101167990143','1'
'101168150143','1'
'101168310143','2'
'101169100149','2'
'101169510149','1'
'101169920140','1'
'101173170140','1'
'101173580140','1'
'101177170147','1'
'101196110146','1'
'101196520146','1'
'101196980141','1'
'101204170149','1'
'101216140140','1'
'101216140249','2'
'101226180147','2'
'101226590147','2'
'101229170142','2'
'101234760145','1'
'101234920145','2'
'101238980146','1'
'101239700141','2'
'101239960141','1'
'101243120146','1'
'101243960141','1'
'101248930147','2'
'101250990144','2'
'101260140248','1'
'101260990147','1'
'101261980146','1'
'101267970141','2'
'101269150140','1'
'101269560140','1'
'101272940148','1'
'101281160147','1'
'101283120141','1'
'101283120547','1'
'101292550148','1'
'101294150143','1'
'101294310143','1'
'101294560143','1'
'101295190146','2'
'101295350146','1'
'101295500146','1'
'101300170142','1'
'101302520146','2'
'101303190142','1'
'101303500142','1'
'101306110146','1'
'101306370146','1'
'101319110146','2'
'101319370146','1'
'101319930246','2'
'101321160140','2'
'101321570140','1'
'101336760146','1'
'101336920146','2'
'101346940141','2'
'101354720148','2'
'101356180145','1'
'101356590145','2'
'101358790141','2'
'101358950141','2'
'101375710144','1'
'101375970144','1'
'101376130148','1'
'101376540148','2'
'101379100144','2'
'101379360144','2'
'101380140146','2'
'101380550146','1'
'101384180149','1'
'101384590149','1'
'101387700144','1'
'101389970146','2'
'101407740141','1'
'101408530140','1'
'101410140140','1'
'101410300140','1'
'101416180141','1'
'101416590141','1'
'101418970145','1'
'101423100142','1'
'101423360142','1'
'101425590240','2'
'101430990141','2'
'101431300140','2'
'101431550140','1'
'101433330240','2'
'101433330349','1'
'101434140145','2'
'101434550145','1'
'101435360144','2'
'101435510144','2'
'101438540140','2'
'101447960146','2'
'101458980148','1'
'101468120140','2'
'101473180145','2'
'101474120149','1'
'101474530149','1'
'101477780149','2'
'101477940149','1'
'101481120240','1'
'101481120349','1'
'101481120646','1'
'101482140240','1'
'101483190149','2'
'101483500149','2'
'101489530143','2'
'101492170145','1'
'101493150147','1'
'101493560147','1'
'101494910144','1'
'101497960141','2'
'101502190143','1'
'101502500143','1'
'101504140140','1'
'101504550140','1'
'101508110143','2'
'101512180149','2'
'101512590149','1'
'101512900140','1'
'101515190145','1'
'101515500145','2'
'101521130140','1'
'101530100145','1'
'101530510145','2'
'101536730144','2'
'101542140142','1'
'101548320145','1'
'101548570145','1'
'101550170145','1'
'101550580145','2'
'101550990245','2'
'101553150146','1'
'101553310146','2'
'101558310145','2'
'101572900146','2'
'101583990146','1'
'101593580242','1'
'101600130146','1'
'101618750147','1'
'101618910147','2'
'101622770147','1'
'101622930147','1'
'101633140143','1'
'101633550143','1'
'101650500142','1'
'101653180141','1'
'101653340141','1'
'101653590141','2'
'101655920146','1'
'101657920142','1'
'101664910143','2'
'101670940141','2'
'101682790141','1'
'101700140140','1'
'101714960141','1'
'101733960141','1'
'101733960149','1'
'101743700141','1'
'101755110149','1'
'101755930140','2'
'101763590140','1'
'101788130143','1'
'101788540143','2'
'101790970144','1'
'101792790144','1'
'101792950144','2'
'101799170146','1'
'101799580146','2'
'101805300143','1'
'101806150242','1'
'101818970148','2'
'101828930147','1'
'101828970143','1'
'101839130143','1'
'101839390143','2'
'101839540143','1'
'101845190245','1'
'101849300140','2'
'101849960240','1'
'101850170140','2'
'101850330140','1'
'101850580140','1'
'101853390146','1'
'101871160140','2'
'101873150142','2'
'101879130145','1'
'101879540145','1'
'101880970141','2'
'101882140140','1'
'101889170145','1'
'101894130147','2'
'101894540147','1'
'101895100141','1'
'101910110149','1'
'101910520149','1'
'101910930140','1'
'101927760143','2'
'101929750140','1'
'101932120148','1'
'101932380148','1'
'101932530148','1'
'101933190140','1'
'101939160142','1'
'101941130140','1'
'101941540249','2'
'101944170143','1'
'101944580143','1'
'101948190142','1'
'101950140149','2'
'101951120144','2'
'101954730140','1'
'101961190146','1'
'101961500146','2'
'101962560145','2'
'101963150246','1'
'101969120147','2'
'101969530147','1'
'101974310147','2'
'101974560147','2'
'101977130345','2'
'101977950148','1'
'102045320145','1'
'102051580341','2'
'102067140147','1'
'102089780147','2'
'102107190140','2'
'102129350146','1'
'102137730145','2'
'102141360142','2'
'102150380142','1'
'102150530142','2'
'102168170140','1'
'102169380146','1'
'102194730148','1'
'102196340147','1'
'102238740143','1'
'102239160147','1'
'102239320147','2'
'102239570147','1'
'102242730148','1'
'102243320147','1'
'102250750141','2'
'102250910141','1'
'102261740143','1'
'102261900143','1'
'102267330147','1'
'102294170140','1'
'102294330140','1'
'102294580140','1'
'102295110143','1'
'102295370143','2'
'102302390143','1'
'102306130143','1'
'102319130143','2'
'102319390143','1'
'102336780143','2'
'102336940143','1'
'102358150147','1'
'102358310147','2'
'102379380141','2'
'102383750147','1'
'102389990143','1'
'102424720148','1'
'102434320142','2'
'102459790147','1'
'102482720149','2'
'102494770141','1'
'102502770240','1'
'102515370142','1'
'102517720148','2'
'102530380142','2'
'102548590142','2'
'102553170143','1'
'102553580143','1'
'102558330142','1'
'102572760143','1'
'102577790144','1'
'102577950144','1'
'102579700148','2'
'102583750143','1'
'102618770144','1'
'102622740140','1'
'102641310345','2'
'102641710148','1'
'102641970148','1'
'102657380148','1'
'102670300147','1'
'102687770143','1'
'102711930147','2'
'102727980140','1'
'102733320147','1'
'102743160147','2'
'102743320147','1'
'102743570147','2'
'102749780149','1'
'102751320148','1'
'102755390146','2'
'102757720148','2'
'102788310140','1'
'102790730141','2'
'102790990141','2'
'102809760147','2'
'102812580242','2'
'102818730145','2'
'102828330149','1'
'102828730140','1'
'102828790144','1'
'102839310140','1'
'102880330147','1'
'102889190142','1'
'102910390146','1'
'102927120149','2'
'102929110146','2'
'102929520146','1'
'102934140149','1'
'102934550149','2'
'102941310246','2'
'102944190140','1'
'102944350140','1'
'102974170144','1'
'102974330144','2'
'102974580144','2'
'102985720148','1'
'103045180142','2'
'103045590142','1'
'103092370145','1'
'103129520143','1'
'103169140143','2'
'103196100144','2'
'103196510144','2'
'103238100149','1'
'103238920140','1'
'103248920145','1'
'103250110147','1'
'103250370147','1'
'103250520147','1'
'103261360149','1'
'103261510149','1'
'103267500144','1'
'103295540140','1'
'103302150140','1'
'103319310140','1'
'103319560140','1'
'103336300149','1'
'103336700140','1'
'103358330144','1'
'103358580144','2'
'103383930144','2'
'103389190149','2'
'103389750140','1'
'103433770146','1'
'103447180149','2'
'103447900140','2'
'103459970144','1'
'103482900146','2'
'103493190141','2'
'103493500141','1'
'103494520149','2'
'103494540147','2'
'103497180144','2'
'103497590144','2'
'103512120143','1'
'103512530143','1'
'103548510248','1'
'103577970141','2'
'103579980145','1'
'103583110149','1'
'103583520149','1'
'103589910147','2'
'103593770148','2'
'103618950141','2'
'103622100146','1'
'103622510146','1'
'103641730145','1'
'103641990145','1'
'103670570144','1'
'103687130149','2'
'103687540149','2'
'103687950140','2'
'103711790144','1'
