CONTROL,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,ROTHE,RUTIL
'101216140140','-9','-9','-9','-9','-9','-9','-9','-9'
'101238980146','-9','-9','-9','-9','-9','-9','-9','-9'
'101250990144','-9','-9','-9','-9','-9','-9','-9','-9'
'101281160147','-9','-9','-9','-9','-9','-9','-9','-9'
'101283120141','-9','-9','-9','-9','-9','-9','-9','-9'
'101295190146','-9','-9','-9','-9','-9','-9','-9','-9'
'101295350146','-9','-9','-9','-9','-9','-9','-9','-9'
'101302520146','-9','-9','-9','-9','-9','-9','-9','-9'
'101303190142','-9','-9','-9','-9','-9','-9','-9','-9'
'101306110146','-9','-9','-9','-9','-9','-9','-9','-9'
'101306370146','-9','-9','-9','-9','-9','-9','-9','-9'
'101319930246','-9','-9','-9','-9','-9','-9','-9','-9'
'101379100144','-9','-9','-9','-9','-9','-9','-9','-9'
'101380140146','-9','-9','-9','-9','-9','-9','-9','-9'
'101380550146','-9','-9','-9','-9','-9','-9','-9','-9'
'101408530140','-9','-9','-9','-9','-9','-9','-9','-9'
'101423360142','-9','-9','-9','-9','-9','-9','-9','-9'
'101430990141','-9','-9','-9','-9','-9','-9','-9','-9'
'101477940149','-9','-9','-9','-9','-9','-9','-9','-9'
'101482140240','-9','-9','-9','-9','-9','-9','-9','-9'
'101483190149','-9','-9','-9','-9','-9','-9','-9','-9'
'101493560147','-9','-9','-9','-9','-9','-9','-9','-9'
'101497960141','-9','-9','-9','-9','-9','-9','-9','-9'
'101512180149','-9','-9','-9','-9','-9','-9','-9','-9'
'101530510145','-9','-9','-9','-9','-9','-9','-9','-9'
'101536730144','-9','-9','-9','-9','-9','-9','-9','-9'
'101548320145','-9','-9','-9','-9','-9','-9','-9','-9'
'101548570145','-9','-9','-9','-9','-9','-9','-9','-9'
'101553310146','-9','-9','-9','-9','-9','-9','-9','-9'
'101593580242','-9','-9','-9','-9','-9','-9','-9','-9'
'101618910147','-9','-9','-9','-9','-9','-9','-9','-9'
'101650500142','-9','-9','-9','-9','-9','-9','-9','-9'
'101653180141','-9','-9','-9','-9','-9','-9','-9','-9'
'101655920146','-9','-9','-9','-9','-9','-9','-9','-9'
'101664910143','-9','-9','-9','-9','-9','-9','-9','-9'
'101670940141','-9','-9','-9','-9','-9','-9','-9','-9'
'101700140140','-9','-9','-9','-9','-9','-9','-9','-9'
'101714960141','-9','-9','-9','-9','-9','-9','-9','-9'
'101743700141','-9','-9','-9','-9','-9','-9','-9','-9'
'101792790144','-9','-9','-9','-9','-9','-9','-9','-9'
'101799170146','-9','-9','-9','-9','-9','-9','-9','-9'
'101805300143','-9','-9','-9','-9','-9','-9','-9','-9'
'101818970148','-9','-9','-9','-9','-9','-9','-9','-9'
'101828930147','-9','-9','-9','-9','-9','-9','-9','-9'
'101839130143','-9','-9','-9','-9','-9','-9','-9','-9'
'101839390143','-9','-9','-9','-9','-9','-9','-9','-9'
'101839540143','-9','-9','-9','-9','-9','-9','2','-9'
'101845190245','-9','-9','-9','-9','-9','-9','-9','-9'
'101850170140','-9','-9','-9','-9','-9','-9','-9','-9'
'101850330140','-9','-9','-9','-9','-9','-9','-9','-9'
'101853833052','-9','-9','-9','-9','-9','1','1','-9'
'101889170145','-9','-9','-9','-9','-9','-9','-9','-9'
'101910520149','1','1','1','1','-9','1','1','1'
'101910930140','-9','-9','-9','-9','-9','-9','-9','-9'
'101929350149','-9','-9','-9','-9','-9','-9','-9','-9'
'101961190146','-9','-9','-9','-9','-9','-9','-9','-9'
'102037473050','-9','-9','-9','-9','-9','-9','-9','-9'
'102051580341','-9','-9','-9','-9','-9','-9','-9','-9'
'102089780147','-9','-9','-9','-9','-9','-9','2','-9'
'102107190140','-9','-9','-9','-9','-9','-9','-9','-9'
'102150453055','-9','-9','-9','-9','-9','-9','-9','-9'
'102169380146','-9','-9','-9','-9','-9','-9','-9','-9'
'102194730148','-9','-9','-9','-9','-9','-9','-9','-9'
'102196340147','-9','-9','-9','-9','-9','-9','-9','-9'
'102261900143','-9','-9','-9','-9','-9','-9','-9','-9'
'102295370143','-9','-9','-9','-9','-9','-9','-9','-9'
'102319130143','-9','-9','-9','-9','-9','-9','-9','-9'
'102358150147','-9','-9','-9','-9','-9','-9','-9','-9'
'102379380141','-9','-9','-9','-9','-9','-9','-9','-9'
'102383750147','-9','-9','-9','-9','-9','-9','-9','-9'
'102434320142','-9','-9','-9','-9','-9','-9','-9','-9'
'102494043051','-9','-9','-9','-9','-9','-9','-9','-9'
'102502043150','-9','-9','-9','-9','-9','-9','-9','-9'
'102502370140','-9','-9','-9','-9','-9','-9','-9','-9'
'102515370142','-9','-9','-9','-9','-9','-9','-9','-9'
'102530380142','-9','-9','-9','-9','-9','-9','-9','-9'
'102548590142','-9','-9','-9','-9','-9','-9','-9','-9'
'102553170143','-9','-9','-9','-9','-9','-9','-9','-9'
'102553580143','-9','-9','-9','-9','-9','-9','-9','-9'
'102579073058','-9','-9','-9','-9','-9','-9','-9','-9'
'102618770144','-9','-9','-9','-9','-9','-9','-9','-9'
'102641310345','-9','-9','-9','-9','-9','-9','-9','-9'
'102641710148','-9','-9','-9','-9','-9','-9','2','-9'
'102711930147','-9','-9','-9','-9','-9','-9','2','-9'
'102727980140','-9','-9','-9','-9','-9','-9','-9','-9'
'102743570147','-9','-9','-9','-9','-9','-9','-9','-9'
'102755390146','-9','-9','-9','-9','-9','-9','-9','-9'
'102790730141','-9','-9','-9','-9','-9','-9','-9','-9'
'102809760147','-9','-9','-9','-9','-9','-9','-9','-9'
'102818730145','-9','-9','-9','-9','-9','-9','-9','-9'
'102828330149','-9','-9','-9','-9','-9','-9','-9','-9'
'102853293058','-9','-9','1','-9','-9','-9','2','-9'
'102853603058','-9','-9','-9','-9','-9','-9','-9','-9'
'102910390146','-9','-9','-9','-9','-9','-9','-9','-9'
'102927120149','-9','-9','-9','-9','-9','-9','-9','-9'
'102929520146','-9','-9','-9','-9','-9','-9','-9','-9'
'102944190140','-9','-9','-9','-9','-9','-9','-9','-9'
'103045180142','-9','-9','-9','-9','-9','-9','-9','-9'
'103129520143','-9','-9','-9','-9','-9','-9','-9','-9'
'103196510144','-9','-9','-9','-9','-9','-9','-9','-9'
'103238920140','-9','-9','-9','-9','-9','-9','1','-9'
'103248920145','-9','-9','-9','-9','-9','-9','-9','-9'
'103250110147','-9','-9','-9','-9','-9','-9','-9','-9'
'103261360149','-9','-9','-9','-9','-9','-9','-9','-9'
'103261510149','-9','-9','-9','-9','-9','-9','-9','-9'
'103358580144','-9','-9','-9','-9','-9','-9','-9','-9'
'103383930144','-9','-9','-9','-9','-9','-9','-9','-9'
'103389190149','-9','-9','-9','1','-9','-9','2','-9'
'103389750140','-9','-9','-9','-9','-9','-9','-9','-9'
'103493190141','-9','-9','-9','-9','-9','-9','-9','-9'
'103502213059','-9','-9','-9','-9','-9','-9','-9','-9'
'103512120143','-9','-9','-9','-9','-9','-9','-9','-9'
'103512530143','-9','-9','-9','-9','-9','-9','-9','-9'
'103579980145','-9','-9','-9','-9','-9','-9','-9','-9'
'103618950141','-9','-9','-9','-9','-9','-9','-9','-9'
'103641730145','-9','-9','-9','-9','-9','-9','-9','-9'
'103670570144','-9','-9','-9','-9','-9','-9','-9','-9'
'103711063054','-9','-9','-9','-9','-9','-9','-9','-9'
'103711790144','-9','-9','-9','-9','-9','-9','-9','-9'
'103818910142','-9','-9','-9','-9','-9','-9','-9','-9'
'103929390143','-9','-9','-9','-9','-9','-9','-9','-9'
'104129390140','-9','-9','-9','-9','-9','-9','-9','-9'
'104248780142','-9','-9','-9','-9','-9','-9','-9','-9'
'104258790147','-9','-9','-9','-9','-9','-9','-9','-9'
'104261380146','-9','-9','-9','-9','-9','-9','2','-9'
'104267370141','-9','-9','-9','-9','-9','-9','-9','-9'
'104357093057','-9','-9','-9','-9','-9','-9','-9','-9'
'104389520146','1','-9','1','1','-9','1','2','1'
'104579013052','-9','-9','-9','-9','-9','-9','-9','-9'
'104589770144','-9','-9','-9','-9','-9','-9','-9','-9'
'104638770147','-9','-9','-9','-9','-9','-9','-9','-9'
'104670013151','-9','-9','-9','-9','-9','-9','-9','-9'
'104670590141','-9','-9','-9','-9','-9','-9','-9','-9'
'104670823054','-9','-9','-9','-9','-9','-9','-9','-9'
'104711970141','-9','-9','-9','-9','-9','-9','-9','-9'
'104809700141','-9','-9','-9','-9','-9','-9','-9','-9'
'104818370148','-9','-9','-9','-9','-9','-9','-9','-9'
'104853233052','-9','-9','-9','-9','-9','-9','-9','-9'
'104853643052','-9','-9','-9','-9','-9','-9','-9','-9'
'104926083055','-9','-9','-9','-9','-9','-9','-9','-9'
'104929150140','-9','-9','-9','-9','-9','-9','-9','-9'
'104963770149','-9','-9','-9','-9','-9','-9','-9','-9'
'105029530143','-9','-9','-9','-9','-9','-9','-9','-9'
'105037293059','-9','-9','-9','-9','-9','-9','-9','-9'
'105037603059','-9','-9','-9','-9','-9','-9','-9','-9'
'105037853050','-9','-9','-9','-9','-9','-9','2','-9'
'105045540145','-9','-9','-9','-9','-9','-9','-9','-9'
'105261970143','-9','-9','-9','-9','-9','-9','-9','-9'
'105389550340','-9','-9','-9','-9','-9','-9','-9','-9'
'105389700143','-9','-9','-9','-9','-9','-9','-9','-9'
'105434540142','-9','-9','-9','-9','-9','-9','-9','-9'
'105494900141','-9','-9','-9','-9','-9','-9','-9','-9'
'105548150142','-9','-9','-9','-9','-9','-9','-9','-9'
'105558550142','-9','-9','-9','-9','-9','-9','-9','-9'
'105638550241','-9','-9','-9','-9','-9','-9','-9','-9'
'105670110147','-9','-9','-9','-9','-9','-9','-9','-9'
'105670520147','-9','-9','-9','-9','-9','-9','-9','-9'
'105853340245','-9','-9','-9','-9','-9','1','2','-9'
'105929340146','-9','-9','-9','-9','-9','-9','-9','-9'
'106267320144','-9','-9','-9','-9','-9','-9','-9','-9'
'106319380140','-9','-9','-9','-9','-9','-9','-9','-9'
'106389320149','-9','-9','-9','-9','-9','-9','-9','-9'
'106494360147','-9','-9','-9','-9','-9','-9','-9','-9'
'106502433050','-9','-9','-9','-9','-9','-9','-9','-9'
'106579063055','-9','-9','-9','-9','-9','-9','-9','-9'
'106670390144','-9','-9','-9','-9','-9','-9','-9','-9'
'106670463057','-9','-9','-9','-9','-9','-9','-9','-9'
'106670540144','-9','-9','1','-9','-9','1','2','-9'
'106670873057','-9','-9','-9','-9','-9','-9','-9','-9'
'106687360149','-9','-9','-9','-9','-9','-9','-9','-9'
'106755380143','-9','-9','-9','-9','-9','-9','-9','-9'
'106828320146','-9','-9','-9','-9','-9','-9','-9','-9'
'106853283055','-9','-9','-9','-9','-9','-9','-9','-9'
'107037233053','-9','-9','-9','-9','-9','-9','-9','-9'
'107129100140','-9','-9','-9','-9','-9','-9','-9','-9'
'107494510146','-9','-9','-9','-9','-9','-9','-9','-9'
'107934310143','-9','-9','-9','-9','-9','-9','-9','-9'
'108037730149','-9','-9','-9','-9','-9','-9','-9','-9'
'108248370148','-9','-9','-9','-9','-9','-9','-9','-9'
'109037910146','-9','-9','-9','-9','-9','-9','-9','-9'
'109926960141','-9','-9','-9','-9','-9','-9','-9','-9'
'111433740149','-9','-9','-9','-9','-9','-9','-9','-9'
'113433780143','-9','-9','-9','-9','-9','-9','-9','-9'
'113497190141','-9','-9','-9','-9','-9','-9','-9','-9'
'113497500141','-9','-9','-9','-9','-9','-9','-9','-9'
'113649180147','-9','-9','-9','-9','-9','-9','-9','-9'
'129321480140','-9','-9','-9','-9','-9','-9','-9','-9'
'129321970140','-9','-9','-9','-9','-9','-9','-9','-9'
'138711813051','-9','-9','-9','-9','-9','-9','-9','-9'
'139579613058','-9','-9','-9','-9','-9','-9','-9','-9'
'139670780147','-9','-9','-9','-9','-9','-9','-9','-9'
'139853190145','-9','-9','-9','-9','-9','-9','-9','-9'
'139853423058','-9','-9','-9','-9','-9','-9','-9','-9'
'139853500145','-9','-9','-9','-9','-9','-9','-9','-9'
'139853833058','-9','-9','-9','-9','-9','-9','-9','-9'
'140711770141','-9','-9','-9','-9','-9','-9','-9','-9'
'140853293052','-9','-9','-9','-9','-9','-9','-9','-9'
'140853603052','-9','-9','-9','-9','-9','-9','-9','-9'
'140853853152','-9','-9','-9','-9','-9','-9','-9','-9'
'140929110140','-9','-9','-9','-9','-9','-9','-9','-9'
'140929443053','-9','-9','-9','-9','-9','-9','-9','-9'
'140929520140','-9','-9','-9','-9','-9','-9','-9','-9'
'140929520249','-9','-9','-9','-9','-9','-9','-9','-9'
'140929853053','-9','-9','-9','-9','-9','-9','-9','-9'
'141037493150','-9','-9','-9','-9','-9','-9','-9','-9'
'141670493051','-9','-9','-9','-9','-9','-9','-9','-9'
'141711390147','-9','-9','-9','-9','-9','-9','-9','-9'
'141711540147','-9','-9','-9','-9','-9','-9','-9','-9'
'141853790148','-9','-9','-9','-9','-9','-9','-9','-9'
'141853950148','-9','-9','-9','-9','-9','-9','-9','-9'
'141929213059','-9','-9','-9','-9','-9','-9','-9','-9'
'141929623059','-9','-9','-9','-9','-9','-9','-9','-9'
'141929873050','-9','-9','-9','-9','-9','-9','-9','-9'
'142711150144','-9','-9','-9','-9','-9','-9','-9','-9'
'142711483057','-9','-9','-9','-9','-9','-9','-9','-9'
'142711893057','-9','-9','-9','-9','-9','-9','-9','-9'
'142853083055','-9','-9','-9','-9','-9','1','2','-9'
'142853710145','-9','-9','-9','-9','-9','-9','2','-9'
'142853970145','-9','-9','-9','-9','-9','-9','-9','-9'
'142929233056','-9','-9','-9','-9','-9','-9','-9','-9'
'143037033053','-9','-9','-9','-9','-9','-9','-9','-9'
'143336263059','-9','-9','-9','-9','-9','-9','-9','-9'
'143579100142','-9','-9','-9','-9','-9','-9','-9','-9'
'143670283054','-9','-9','1','1','-9','-9','2','1'
'143711403054','-9','-9','-9','-9','-9','-9','-9','-9'
'143711580141','-9','-9','-9','-9','-9','-9','-9','-9'
'143711813054','-9','-9','-9','-9','-9','-9','-9','-9'
'143853730142','-9','-9','-9','-9','-9','-9','2','-9'
'143853990142','-9','-9','-9','-9','-9','-9','-9','-9'
'143929663053','-9','-9','-9','-9','-9','-9','-9','-9'
'144711190247','-9','-9','-9','-9','-9','-9','-9','-9'
'144711423051','-9','-9','-9','-9','-9','-9','-9','-9'
'144711833051','-9','-9','-9','-9','-9','-9','-9','-9'
'144853190148','-9','-9','-9','-9','-9','-9','-9','-9'
'144853500148','-9','-9','-9','-9','-9','-9','-9','-9'
'144929023059','-9','-9','-9','-9','-9','-9','-9','-9'
'144929273050','1','-9','1','1','1','-9','2','1'
'144929683050','-9','-9','-9','-9','-9','-9','2','-9'
'144929750149','-9','-9','-9','-9','-9','-9','-9','-9'
'144929910149','-9','-9','-9','-9','-9','-9','-9','-9'
'145037083056','-9','-9','-9','-9','-9','-9','-9','-9'
'145357460141','-9','-9','-9','-9','-9','-9','-9','-9'
'145579150145','-9','-9','-9','-9','-9','-9','-9','-9'
'145579310145','-9','-9','-9','-9','-9','-9','-9','-9'
'145670233057','-9','-9','-9','-9','-9','-9','-9','-9'
'145711453057','-9','-9','-9','-9','-9','-9','-9','-9'
'145711530144','-9','-9','-9','-9','-9','-9','-9','-9'
'145711863057','-9','-9','-9','-9','-9','-9','-9','-9'
'145853780145','-9','-9','-9','-9','-9','-9','-9','-9'
'145929613056','-9','-9','-9','-9','-9','-9','-9','-9'
'146711140141','-9','-9','-9','-9','-9','-9','-9','-9'
'146711473054','-9','-9','-9','-9','-9','-9','-9','-9'
'146711550141','-9','-9','-9','-9','-9','-9','-9','-9'
'146853073052','-9','-9','-9','-9','-9','-9','-9','-9'
'146853700142','1','1','-9','1','-9','-9','2','-9'
'146929223053','-9','-9','-9','-9','-9','-9','-9','-9'
'147037023050','-9','-9','-9','-9','-9','-9','-9','-9'
'147037190149','1','1','1','1','-9','-9','2','-9'
'147711493051','-9','-9','-9','-9','-9','-9','-9','-9'
'147853570148','-9','-9','-9','-9','-9','-9','-9','-9'
'147929243050','-9','-9','-9','-9','-9','-9','2','-9'
'147929653050','-9','-9','-9','-9','-9','-9','-9','-9'
'147929720149','-9','-9','-9','-9','-9','-9','-9','-9'
'148037520146','-9','-9','-9','-9','-9','-9','-9','-9'
'148711263057','-9','-9','-9','-9','-9','-9','-9','-9'
'148711673057','-9','-9','-9','-9','-9','-9','-9','-9'
'148853180145','-9','-9','-9','-9','-9','-9','-9','-9'
'148853340145','-9','-9','-9','-9','-9','-9','-9','-9'
'148853823058','-9','-9','-9','-9','-9','-9','-9','-9'
'148929013056','-9','-9','-9','-9','-9','-9','-9','-9'
'148929740146','-9','-9','-9','-9','-9','-9','-9','-9'
'149037540143','-9','-9','1','1','-9','-9','2','-9'
'149357853051','-9','-9','-9','-9','-9','-9','-9','-9'
'149711283054','-9','-9','-9','-9','-9','-9','-9','-9'
'149711693054','-9','-9','-9','-9','-9','-9','-9','-9'
'149853100142','-9','-9','-9','-9','-9','-9','-9','-9'
'149853360142','-9','-9','-9','-9','-9','-9','-9','-9'
'149853843055','-9','-9','-9','-9','-9','-9','-9','-9'
'149929033053','-9','-9','-9','-9','-9','-9','2','-9'
