CONTROL,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'685321170143',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'685321330143',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'685349380145',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'685356350148',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'685358700144',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'685358700144',2,'3','-6','1','1','-9',2,'-6','2','1','2','-9','-9','-9','-9','-9'
'685389490149',1,'3','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'685389720149',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'685407750144',1,'3','-6','1','1','-9',3,'-6','3','1','1','-9','-9','-9','-9','-9'
'685410640143',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'685423520145',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'685434560148',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'685489390146',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'685489463059',1,'3','-6','1','2','-9',4,'1','2','1','1','-9','-9','-9','-9','-9'
'685489540146',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'685489790246',1,'2','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'685489790246',2,'3','-6','3','2','-9',5,'2','1','1','2','-9','-9','-9','-9','-9'
'685494430147',1,'3','-6','3','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'685494820149',1,'3','-6','1','2','-9',9,'1','2','1','1','-9','-9','-9','-9','-9'
'685497480144',1,'3','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'685502280146',1,'2','-6','3','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
