CONTROL,OWNHERE,JWNHER
'104589770144','2','-9'
'104638770147','-6','-9'
'104670013151','2','-9'
'104670590141','2','-9'
'104670823054','-6','-9'
'104711970141','-6','-9'
'104809700141','2','-9'
'104818370148','2','-9'
'104853233052','1','-9'
'104853643052','1','2'
'104926083055','1','-9'
'104929150140','1','-9'
'104963770149','-6','-9'
'105029530143','-6','-9'
'105037293059','-6','-9'
'105037603059','1','-9'
'105037853050','-6','-9'
'105045540145','2','-9'
'105261970143','2','-9'
'105383980147','2','-9'
'105389550340','2','-9'
'105389550449','1','-9'
'105389700143','2','2'
'105434540142','1','-9'
'105494900141','2','-9'
'105548150142','2','2'
'105558550142','2','-9'
'105638550241','2','-9'
'105670110147','-6','-9'
'105670520147','1','-9'
'105755100146','2','-9'
'105828140149','1','-9'
'105853340245','1','-9'
'105929340146','1','-9'
'106267320144','1','-9'
'106319380140','2','2'
'106389320149','1','2'
'106494360147','1','-9'
'106502433050','2','-9'
'106579063055','1','-9'
'106670390144','2','-9'
'106670463057','2','-9'
'106670540144','2','-9'
'106670873057','2','-9'
'106687360149','-6','-9'
'106755380143','2','2'
'106828320146','1','-9'
'106853283055','2','-9'
'107037233053','2','-9'
'107129100140','2','2'
'107494510146','2','2'
'107502613056','1','-9'
'107934310143','2','-9'
'108037003059','1','-9'
'108037730149','-6','-9'
'108248370148','2','2'
'108577320144','-6','-9'
'109037910146','1','-9'
'109926960141','2','2'
'111029140143','2','-9'
'111433740149','-6','-9'
'113433780143','1','-9'
'113497190141','-6','-9'
'113497500141','-6','-9'
'113649180147','1','-9'
'113649590147','2','-9'
'115727300146','-6','-9'
'129321480140','-6','-9'
'129321970140','-6','-9'
'129697420141','-6','-9'
'138711813051','-6','-9'
'139579613058','1','-9'
'139670780147','1','-9'
'139853190145','-6','-9'
'139853423058','2','-9'
'139853500145','2','-9'
'139853833058','1','-9'
'140711043051','1','-9'
'140711770141','2','-9'
'140711930141','2','-9'
'140853293052','1','-9'
'140853603052','1','-9'
'140853853152','1','-9'
'140929110140','2','-9'
'140929443053','-6','-9'
'140929520140','-6','-9'
'140929520249','-6','-9'
'140929853053','1','-9'
'141037493150','2','-9'
'141670493051','2','-9'
'141711390147','2','-9'
'141711540147','1','-9'
'141853790148','1','-9'
'141853950148','2','-9'
'141929213059','-6','-9'
'141929623059','1','-9'
'141929873050','2','-9'
'142711150144','2','-9'
'142711483057','2','-9'
'142711560144','2','-9'
'142711893057','1','-9'
'142853083055','2','-9'
'142853710145','-6','-9'
'142853970145','1','-9'
'142929233056','1','-9'
'143037033053','1','-9'
'143336263059','1','-9'
'143579100142','2','-9'
'143670283054','-6','-9'
'143711403054','1','-9'
'143711580141','2','-9'
'143711813054','1','-9'
'143853730142','2','-9'
'143853990142','1','-9'
'143929663053','1','-9'
'144711190247','1','-9'
'144711423051','2','-9'
'144711833051','-6','-9'
'144853190148','1','-9'
'144853500148','1','-9'
'144929023059','-6','-9'
'144929273050','2','-9'
'144929683050','1','-9'
'144929750149','1','-9'
'144929910149','1','-9'
'145037083056','2','-9'
'145357460141','-6','-9'
'145579150145','2','-9'
'145579310145','-6','-9'
'145670233057','2','-9'
'145711453057','2','-9'
'145711530144','1','-9'
'145711863057','1','-9'
'145853780145','-6','-9'
'145853940145','1','-9'
'145929613056','2','-9'
'146711140141','1','-9'
'146711473054','2','-9'
'146711550141','1','-9'
'146853073052','-6','-9'
'146853700142','1','-9'
'146853960142','1','-9'
'146929223053','-6','-9'
'147037023050','1','-9'
'147037190149','2','-9'
'147711493051','1','-9'
'147853570148','1','-9'
'147929243050','1','-9'
'147929653050','2','-9'
'147929720149','2','-9'
'148037520146','1','-9'
'148711263057','-6','-9'
'148711673057','2','-9'
'148853180145','2','-9'
'148853340145','1','-9'
'148853823058','1','-9'
'148929013056','-6','-9'
'148929740146','2','-9'
'149037540143','2','-9'
'149357853051','2','-9'
'149711283054','1','-9'
'149711693054','1','-9'
'149853100142','1','-9'
'149853360142','1','-9'
'149853843055','1','-9'
'149929033053','2','-9'
'149929920143','1','-9'
'150670560147','2','-9'
'150711053057','-6','-9'
'150711780147','1','-9'
'150711940147','1','-9'
'150853203058','2','-9'
'150853613058','2','-9'
'150929120146','2','-9'
'150929380146','1','-9'
'150929863059','2','-9'
'151357563051','2','-9'
'151670813057','2','-9'
'151711073054','1','-9'
'151853223055','-6','-9'
'151929140143','1','-9'
'151929550143','1','-9'
'152711720141','-6','-9'
'152711980141','2','-9'
'152853653052','-6','-9'
'152929570140','1','-9'
'153150273055','-6','-9'
'153288763054','2','-9'
'153357023054','-6','-9'
'153596763153','2','-9'
'153711590147','-6','-9'
'153929263059','2','2'
'154549610148','2','-9'
'154596450149','1','-9'
'154596533050','1','-9'
'155288153254','-6','-9'
'155288973057','2','-9'
'155549640342','1','-9'
'155549890145','2','-9'
'155596313056','2','-9'
'155596563056','2','2'
'155596640243','2','-9'
'155711063051','-6','-9'
'155711950141','-6','-9'
'156288250141','2','-9'
'156288660141','1','-9'
'156288733054','1','-9'
'156549400142','2','-9'
'156549810142','2','-9'
'157288020147','2','-9'
'157549270148','2','-9'
'157596193050','1','-9'
'157596420149','2','-9'
'157596830149','2','-9'
'158288040144','2','-9'
'158288113057','2','2'
'158288373057','2','-9'
'158549290145','1','-9'
'158549600145','1','-9'
'158549773058','2','-9'
'158549933058','1','-9'
'158596373156','2','-9'
'158596850146','2','-9'
'158929833153','1','-9'
'159288060141','1','-9'
'159288133054','2','-9'
'159288393054','2','-9'
'159288543054','2','-9'
'159549210142','2','-9'
'159549620142','2','-9'
'159549793055','2','2'
'159596460143','2','2'
'159853110148','2','-9'
'159853370148','-6','-9'
'159929043059','2','-9'
'159929770149','1','-9'
'160288230147','2','-9'
'160288640147','2','-9'
'160549890148','2','-9'
'160596313059','2','-9'
'160596563059','2','-9'
'160596713050','2','-9'
'160596973050','2','-9'
'160929390143','-6','-9'
'161288250144','2','-9'
'161288993057','1','-9'
'161494310144','-6','-9'
'161494483057','2','-9'
'161494560144','2','-9'
'161549400145','2','2'
'161549810145','2','-9'
'161596000143','2','-9'
'161670180141','-6','-9'
'161929483053','2','2'
'162288270141','2','-9'
'162288680141','2','-9'
'162288913054','1','-9'
'162494403054','-6','-9'
'162596020140','1','-9'
'162596503053','-6','-9'
'162711330147','-6','-9'
'162929253059','-6','-9'
'163037940146','2','-9'
'163288040147','2','-9'
'163288773051','2','-9'
'163288933051','2','-9'
'163549290148','1','-9'
'163549600148','2','-9'
'163579863058','-6','-9'
'163596113050','1','-9'
'163596373050','2','-9'
'163596523050','2','-9'
'164037073053','1','-9'
'164288060144','1','-9'
'164288133057','1','-9'
'164288393057','2','-9'
'164549793058','1','-9'
'164579140142','1','-9'
'164579473055','1','-9'
'164579883055','-6','-9'
'164596460146','2','2'
'164670223054','2','-9'
'164670633054','-6','-9'
'164926520145','1','-9'
'165037253050','2','-9'
'165037663050','2','-9'
'165037990149','2','-9'
'165288240141','1','-9'
'165288723054','1','-9'
'165288983054','2','-9'
'165502633053','1','-9'
'165579170148','-6','-9'
'165579330148','1','-9'
'165596090140','2','-9'
'165596090249','2','-9'
'165596323053','1','-9'
'165596573053','2','-9'
'166037750146','1','-9'
'166258960141','-6','-9'
'166288010147','2','-9'
'166288903051','1','-9'
'166494493051','1','-9'
'166494570247','2','-9'
'166494803051','-6','-9'
'166502093059','2','-9'
'166502980149','-6','-9'
'166549670148','2','-9'
'166579190145','1','-9'
'166579350145','1','-9'
'166579423058','-6','-9'
'166579500145','1','-9'
'166579833058','-6','-9'
'166596183050','1','-9'
'166596593050','1','-9'
'166670273057','1','-9'
'166670683057','2','-9'
'166778960145','1','-9'
'166926160148','2','-9'
'166926570148','1','-9'
'167037043053','2','-9'
'167383160141','2','-9'
'167383320141','1','-9'
'167383570141','1','-9'
'167494180244','2','-9'
'167502013056','-6','-9'
'167502900146','1','-9'
'167579110142','2','-9'
'167579370142','2','-9'
'167579443055','2','-9'
'167579520142','2','-9'
'167579853055','1','-9'
'167670293054','-6','-9'
'167670603054','2','-9'
'167778720142','2','-9'
'167778980142','1','-9'
'167926180145','2','-9'
'167926340145','-6','-9'
'167926413058','-6','-9'
'168037540149','-6','-9'
'168037790140','1','-9'
'168129740149','1','-9'
'168288450341','1','-9'
'168549450242','1','-9'
'168550823255','2','-9'
'168550900145','2','-9'
'168579463052','1','-9'
'168583823156','2','-9'
'168583823453','2','-9'
'168670213051','2','-9'
'168670623051','-6','-9'
'168778340148','1','-9'
'168778590148','1','-9'
'168926100142','2','-9'
'168926510142','-6','-9'
'169037150146','2','-9'
'169037310146','1','-9'
'169037893059','1','-9'
'169129760146','2','-9'
'169129920146','2','-9'
'169258360141','2','-9'
'169258510141','2','-9'
'169258843054','2','-9'
'169383360244','2','-9'
'169494613051','-6','-9'
'169502940140','-6','-9'
'169550760142','-6','-9'
'169550920142','2','-9'
'169579233058','2','-9'
'169579643058','1','-9'
'169583360240','2','2'
'169583510240','2','-9'
'169583510349','2','-9'
'169596880249','1','-9'
'169670083057','-6','-9'
'169670970147','2','-9'
'169778510145','2','-9'
'170037663053','1','-9'
'170129120140','1','-9'
'170129530140','2','-9'
'170258053057','2','-9'
'170288240144','2','-9'
'170288490244','1','-9'
'170288983057','2','2'
'170494550144','-6','-9'
'170494883057','2','-9'
'170550203058','-6','-9'
'170550613058','2','-9'
'170579003052','-6','-9'
'170579730142','1','-9'
'170579990142','2','-9'
'170583120146','2','-9'
'170583380146','2','-9'
'170583530146','-6','-9'
'170583863059','-6','-9'
'170596240243','2','-9'
'170596490343','-6','-9'
'170596573056','2','-9'
'170670330141','2','-9'
'170670403054','-6','-9'
'170670580141','1','-9'
'170670813054','2','-9'
'170926700145','-6','-9'
'170926960145','2','-9'
'171037273050','-6','-9'
'171037683050','2','-9'
'171037750149','1','-9'
'171037910149','1','-9'
'171258960144','1','-9'
'171383550147','1','-9'
'171549410142','1','-9'
'171550633055','2','-9'
'171579190148','-6','-9'
'171579350148','1','-9'
'171579500148','-6','-9'
'171583140143','2','-9'
'171583473056','2','-9'
'171583550143','2','-9'
'171583883056','2','-9'
'171596183053','1','-9'
'171596343053','-6','-9'
'171596593053','1','-9'
'171670423051','-6','-9'
'171670833051','-6','-9'
'171822960247','-6','-9'
'171846740145','1','-9'
'172037043056','2','-9'
'172037770146','-6','-9'
'172037930146','-6','-9'
'172238970240','2','-9'
'172238970349','2','-9'
'172258093051','-6','-9'
'172258720141','2','-9'
'172258980141','2','-9'
'172273970547','2','-9'
'172281970448','2','-9'
'172288280247','2','-9'
'172500980145','2','-9'
'172502013059','-6','-9'
'172550653052','2','-9'
'172579110145','2','-9'
'172579370145','1','-9'
'172583160140','2','-9'
'172583493053','2','-9'
'172822160144','1','-9'
'172926590148','-6','-9'
'173037950143','1','-9'
'173238580246','2','-9'
'173273330147','2','-9'
'173273580147','2','2'
