Sourcekey,N3010US2,N3010AL2,N3010AK2,N3010AZ2,N3010AR2,N3010CA2,N3010CO2,N3010CT2,N3010DE2,N3010DC2,N3010FL2,N3010GA2,N3010HI2,N3010ID2,N3010IL2,N3010IN2,N3010IA2,N3010KS2,N3010KY2,N3010LA2,N3010ME2,N3010MD2,N3010MA2,N3010MI2,N3010MN2,N3010MS2,N3010MO2,N3010MT2,N3010NE2,N3010NV2,N3010NH2,N3010NJ2,N3010NM2,N3010NY2,N3010NC2,N3010ND2,N3010OH2,N3010OK2,N3010OR2,N3010PA2,N3010RI2,N3010SC2,N3010SD2,N3010TN2,N3010TX2,N3010UT2,N3010VT2,N3010VA2,N3010WA2,N3010WV2,N3010WI2,N3010WY2
Date,U.S. Natural Gas Residential Consumption (MMcf),Alabama Natural Gas Residential Consumption (MMcf),Alaska Natural Gas Residential Consumption (MMcf),Arizona Natural Gas Residential Consumption (MMcf),Arkansas Natural Gas Residential Consumption (MMcf),California Natural Gas Residential Consumption (MMcf),Colorado Natural Gas Residential Consumption (MMcf),Connecticut Natural Gas Residential Consumption (MMcf),Delaware Natural Gas Residential Consumption (MMcf),District of Columbia Natural Gas Residential Consumption (MMcf),Florida Natural Gas Residential Consumption (MMcf),Georgia Natural Gas Residential Consumption (MMcf),Hawaii Natural Gas Residential Consumption (MMcf),Idaho Natural Gas Residential Consumption (MMcf),Illinois Natural Gas Residential Consumption (MMcf),Indiana Natural Gas Residential Consumption (MMcf),Iowa Natural Gas Residential Consumption (MMcf),Kansas Natural Gas Residential Consumption (MMcf),Kentucky Natural Gas Residential Consumption (MMcf),Louisiana Natural Gas Residential Consumption (MMcf),Maine Natural Gas Residential Consumption (MMcf),Maryland Natural Gas Residential Consumption (MMcf),Massachusetts Natural Gas Residential Consumption (MMcf),Michigan Natural Gas Residential Consumption (MMcf),Minnesota Natural Gas Residential Consumption (MMcf),Mississippi Natural Gas Residential Consumption (MMcf),Missouri Natural Gas Residential Consumption (MMcf),Montana Natural Gas Residential Consumption (MMcf),Nebraska Natural Gas Residential Consumption (MMcf),Nevada Natural Gas Residential Consumption (MMcf),New Hampshire Natural Gas Residential Consumption (MMcf),New Jersey Natural Gas Residential Consumption (MMcf),New Mexico Natural Gas Residential Consumption (MMcf),New York Natural Gas Residential Consumption (MMcf),North Carolina Natural Gas Residential Consumption (MMcf),North Dakota Natural Gas Residential Consumption (MMcf),Ohio Natural Gas Residential Consumption (MMcf),Oklahoma Natural Gas Residential Consumption (MMcf),Oregon Natural Gas Residential Consumption (MMcf),Pennsylvania Natural Gas Residential Consumption (MMcf),Rhode Island Natural Gas Residential Consumption (MMcf),South Carolina Natural Gas Residential Consumption (MMcf),South Dakota Natural Gas Residential Consumption (MMcf),Tennessee Natural Gas Residential Consumption (MMcf),Texas Natural Gas Residential Consumption (MMcf),Utah Natural Gas Residential Consumption (MMcf),Vermont Natural Gas Residential Consumption (MMcf),Virginia Natural Gas Residential Consumption (MMcf),Washington Natural Gas Residential Consumption (MMcf),West Virginia Natural Gas Residential Consumption (MMcf),Wisconsin Natural Gas Residential Consumption (MMcf),Wyoming Natural Gas Residential Consumption (MMcf)
1997,4983772,48496,15146,31057,42428,478904,115583,40562,8972,15807,13117,114383,517,15239,497230,169140,81696,69415,66033,52709,1009,77500,112308,379838,128873,27626,127625,21002,47105,25243,6939,216925,36623,375641,52894,11370,354543,71762,32522,262494,18162,25741,13203,64130,234988,58108,2631,73905,61813,35996,135819,12999
1998,4520276,46544,15617,36100,38190,549931,110839,35329,7755,13249,14102,107398,535,16002,409812,140122,68901,70217,55545,47574,910,68057,102062,319701,110449,24847,110779,19172,40771,30023,6267,196658,35877,339512,50786,10092,296576,66521,34417,217929,16461,25430,11646,59386,199454,56843,2454,63186,61936,29664,115946,12702
1999,4725672,42647,17634,32940,36245,568496,111748,38364,8862,14147,13797,98777,524,17912,445217,151529,71430,68146,59220,45104,957,74848,105709,350735,118938,24562,112042,19676,40588,28772,6613,209399,35548,370711,52853,10573,318214,61611,38564,241468,16601,25669,11766,60561,175907,55474,2565,69189,71704,31403,127607,12106
2000,4996179,47441,15987,34740,42361,516730,116363,41534,9467,15437,15133,140838,535,19131,467052,161221,73857,70601,64662,49744,1037,84082,114077,367728,129804,27033,115466,20116,42510,29942,7274,219878,35921,400224,63899,10963,343920,66862,38698,262788,18655,29057,12608,68428,193555,55626,2843,79701,71779,31602,135095,12177
2001,4771340,49242,16818,36249,37202,512695,123514,41022,9175,12947,15547,119969,537,19118,427146,147338,71074,70182,56947,49003,954,70691,106636,343682,124891,27920,116188,20147,46663,32609,6812,214995,34750,376176,56815,10570,308534,64617,38271,238849,17937,27485,12335,68053,208449,55008,2719,70249,84416,31939,125277,10977
2002,4888818,46482,16191,35305,39130,510995,128828,40276,9550,14249,15127,126667,539,20399,459400,156809,71545,70863,59104,49147,1056,80122,109279,367765,135213,26457,114185,21710,43826,31958,6922,209836,33499,369614,58904,11725,321317,67163,38858,239123,17545,27621,12897,69330,209951,59398,2761,75476,73347,30793,137234,13330
2003,5079351,46572,16853,35810,37994,497955,124214,45627,10766,15156,15866,129907,537,18940,473451,157356,74024,70369,61886,47330,1211,90669,125879,385568,137953,26589,114547,20436,42190,32848,7940,243760,31619,409649,65410,11876,343037,65681,37300,265020,20176,29154,13175,69746,206694,54632,3118,85330,71110,32209,142067,12144
2004,4868797,43859,18200,38206,34760,512046,120574,44179,10399,14276,15892,126492,524,20682,443410,148587,68321,65049,56443,42736,1189,86382,112780,362024,132893,24136,109738,19907,38600,36534,7086,232471,34339,392738,62800,11132,320823,59449,38532,247788,19470,29314,12281,65331,191507,60527,3112,82755,70932,30331,135169,12091
2005,4826775,42057,18029,35767,33605,483699,124255,44522,10339,13853,16124,124560,516,21603,437572,148655,67271,64923,56142,41155,1149,85768,118617,358623,128625,24464,106856,19834,37963,36397,7793,231065,33242,406175,63865,10692,322697,59372,39806,245099,19088,28537,12212,66277,185124,58044,3088,85355,73626,29795,131215,11660
2006,4368466,38132,20616,36055,31495,491777,119270,39069,9111,11412,15641,110245,518,22450,398231,127649,61844,57078,47379,33435,985,71345,103882,315769,117153,21481,95394,19449,35896,37937,6718,197205,30435,356453,56506,9644,272261,52734,41045,205813,16869,24928,11514,61018,166225,60017,2874,71693,75491,26085,120567,11673
2007,4722358,35481,19843,38321,32731,492378,130971,43348,10000,13371,15066,111895,509,23419,433048,142543,67754,63091,51534,37150,1170,83457,115199,328432,128842,22227,101601,19722,38596,38088,7394,228051,33471,400259,58365,10698,299577,59861,42880,231305,17672,25158,12402,60736,199802,60563,3207,80957,80152,26528,131160,12375
2008,4892277,37793,21439,38453,35718,489304,133947,42935,9875,13222,15594,119375,499,27532,465927,152701,75449,70336,55025,37225,1101,81180,132817,341754,139489,23843,114025,21585,42357,38665,7054,220432,33996,394196,63912,11500,306529,66225,45053,229254,17692,27100,13566,69181,192750,65974,3075,79725,84509,27517,140576,13293
2009,4778907,36061,19978,34732,33252,480721,128993,43995,10049,13466,15214,118589,510,25531,440065,139743,70111,71068,51821,36512,1286,82699,132883,327113,133319,23433,106301,21765,40143,38742,7213,226016,32405,404868,65642,11518,292429,62293,44819,227714,17914,27160,13595,66111,192153,65184,3183,84445,84143,26172,133176,12656
2010,4787320,41689,18714,37812,36240,494890,131224,42729,10126,13608,18744,138671,509,23975,416570,138037,68393,73203,54391,45465,1234,83830,125601,304330,122993,27152,107389,20875,40132,39379,6738,219141,35253,390491,74520,10536,283703,65419,40821,223642,16942,32262,12815,74316,226385,66087,3078,88157,75554,27021,123618,12915
2011,4728502,35098,,38936,,,134667,46368,9990,12873,15795,114046,486,,426115,132411,65501,64300,50077,39321,1462,79610,,315764,126020,,102204,22041,40178,40118,,211763,34281,394497,62364,10973,279354,65177,,221668,,,12637,67265,,,3297,80541,,25433,129039,13354
