control,ownhere,JWNHER
'169037150146','2','-9'
'169037310146','1','-9'
'169129760146','2','-9'
'169129920146','2','-9'
'169258100141','2','-9'
'169258360141','2','-9'
'169258510141','2','-9'
'169383360244','2','-9'
'169502940140','-6','-9'
'169550760142','-6','-9'
'169550920142','2','-9'
'169583360240','2','-9'
'169583510240','2','-9'
'169583510349','2','-9'
'169670970147','1','-9'
'169778510145','1','-9'
'170129120140','1','-9'
'170129530140','2','-9'
'170258780147','-6','-9'
'170288240144','2','-9'
'170383940141','2','-9'
'170579730142','1','-9'
'170579990142','2','-9'
'170583120146','2','-9'
'170583530146','-6','-9'
'170596090143','2','-9'
'170596240243','2','-9'
'170670170141','1','-9'
'170670330141','2','-9'
'170926960145','2','2'
'171037750149','1','-9'
'171258960144','1','-9'
'171383300147','2','-9'
'171383550147','2','-9'
'171579190148','-6','-9'
'171579350148','1','-9'
'171579500148','-6','-9'
'171583550143','2','-9'
'171822960247','2','-9'
'171846740145','2','2'
'172037770146','1','-9'
'172037930146','-6','-9'
'172238970240','2','-9'
'172238970349','2','-9'
'172258720141','1','-9'
'172258980141','2','-9'
'172273970547','2','-9'
'172281970448','2','-9'
'172288030147','1','-9'
'172288280247','2','-9'
'172500980145','2','-9'
'172549280148','2','-9'
'172577510141','-6','-9'
'172579110145','2','-9'
'172579520145','1','-9'
'172583160140','2','-9'
'172583320140','-6','-9'
'172822160144','1','-9'
'172926590148','-6','-9'
'173037950143','1','-9'
'173273330147','1','-9'
'173273730247','2','-9'
'173281730148','2','-9'
'173288200244','2','-9'
'173319780149','2','-9'
'173319940149','1','2'
'173500410142','1','-9'
'173500820142','2','-9'
'173502760146','2','-9'
'173502920146','1','-9'
'173579130142','1','-9'
'173822670141','1','-9'
'173926360145','1','-9'
'173926510145','1','-9'
'174037560149','1','-9'
'174037710140','2','-9'
'174037710249','2','-9'
'174037970140','-6','-9'
'174258100144','-6','-9'
'174273190144','2','-9'
'174273350144','2','-9'
'174273500144','2','-9'
'174281750145','2','-9'
'174500280148','2','-9'
'174500690148','2','-9'
