control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'184408570146','2','-9','-9','-9','-9','-9','-9','-9'
'184596230133','2','-9','-9','-9','-9','-9','-9','-9'
'184596530133','2','1','-9','-9','-9','-9','-9','-9'
'184596630133','2','-9','-9','-9','-9','-9','-9','-9'
'184890180144','1','-9','-9','-9','-9','-9','-9','-9'
'184944370149','2','-9','-9','-9','-9','-9','-9','-9'
'184954850146','2','1','-9','-9','-9','-9','1','1'
'185053250146','2','-9','-9','-9','-9','-9','-9','-9'
'185194380142','2','1','1','1','-9','1','-9','-9'
'185358030141','2','-9','-9','-9','-9','-9','-9','-9'
'185423990145','2','-9','-9','-9','-9','-9','-9','-9'
'185641030745','2','-9','-9','-9','-9','1','-9','-9'
'185641840242','2','1','-9','1','-9','1','-9','-9'
'185763970143','2','1','-9','-9','-9','-9','1','-9'
'185889960148','2','-9','-9','-9','-9','-9','1','-9'
'185941030349','2','-9','-9','-9','-9','-9','-9','-9'
'186144770146','1','-9','-9','-9','-9','-9','-9','-9'
'186169910149','2','1','-9','1','-9','-9','-9','-9'
'186358610347','2','1','-9','-9','-9','-9','-9','-9'
'186358610644','2','-9','-9','-9','-9','-9','-9','-9'
'186408600149','2','-9','-9','-9','-9','-9','-9','-9'
'186433120145','2','1','1','1','-9','-9','-9','1'
'186468520149','2','-9','-9','-9','-9','-9','-9','1'
'186502130133','2','-9','-9','-9','-9','-9','-9','-9'
'186583530133','2','-9','-9','-9','-9','-9','-9','-9'
'186649050144','2','-9','-9','-9','-9','-9','-9','-9'
'186694370142','2','-9','-9','-9','-9','-9','-9','-9'
'186698500141','2','-9','-9','-9','-9','-9','-9','-9'
'186721160148','2','-9','-9','-9','-9','-9','-9','-9'
'186730150144','1','1','-9','-9','-9','-9','-9','-9'
'186812550145','2','-9','-9','-9','-9','-9','-9','-9'
'186932770148','2','-9','-9','-9','-9','-9','-9','-9'
'186941610149','2','1','-9','1','-9','-9','-9','-9'
'186997140144','2','1','1','1','-9','-9','-9','-9'
'187218330143','2','-9','-9','-9','-9','-9','-9','1'
'187243460143','2','1','1','-9','-9','-9','1','-9'
'187382540145','1','-9','-9','-9','-9','-9','-9','-9'
'187407910147','2','-9','-9','-9','-9','-9','-9','-9'
'187408130146','2','-9','-9','-9','-9','-9','-9','-9'
'187421300141','2','1','1','1','-9','1','1','1'
'187430740147','2','-9','-9','-9','-9','-9','-9','-9'
'187440930143','2','1','-9','-9','-9','-9','-9','-9'
'187542310148','2','-9','-9','-9','-9','-9','-9','-9'
'187603190141','2','1','-9','-9','-9','1','1','1'
'187664760149','2','-9','-9','-9','-9','-9','-9','-9'
'187809120145','2','1','1','-9','-9','-9','1','-9'
'187926670141','2','1','1','1','-9','-9','-9','-9'
'187935130241','2','-9','-9','-9','-9','-9','-9','-9'
'188049950140','2','-9','-9','-9','-9','-9','-9','-9'
'188092160646','2','1','1','-9','-9','-9','-9','-9'
'188092760145','2','-9','-9','-9','-9','-9','-9','-9'
'188107510146','2','-9','-9','-9','-9','-9','-9','-9'
'188134960343','2','-9','-9','-9','-9','-9','-9','-9'
'188136320141','2','-9','-9','-9','-9','-9','-9','-9'
'188138120149','2','-9','-9','-9','-9','-9','1','-9'
'188168340146','2','-9','-9','-9','-9','-9','-9','-9'
'188190740141','2','1','-9','-9','-9','-9','-9','-9'
'188243160142','2','-9','-9','-9','-9','-9','-9','-9'
'188245700144','2','-9','-9','-9','-9','-9','-9','-9'
'188260170142','2','1','1','1','-9','-9','1','1'
'188260580142','2','1','-9','-9','-9','-9','-9','-9'
'188276770148','2','-9','-9','-9','-9','-9','-9','-9'
'188289510147','2','1','-9','-9','-9','-9','-9','1'
'188303320149','2','-9','-9','-9','-9','-9','-9','-9'
'188313930240','2','1','-9','-9','-9','1','-9','1'
'188333580141','2','-9','-9','-9','-9','-9','-9','-9'
'188439910244','2','-9','-9','-9','-9','-9','-9','-9'
'188439910343','2','-9','-9','-9','-9','-9','-9','-9'
'188474970143','1','-9','-9','-9','-9','-9','-9','-9'
'188489130133','2','-9','-9','-9','-9','-9','-9','-9'
'188503770146','2','-9','-9','-9','-9','-9','-9','-9'
'188508140146','1','1','-9','-9','-9','-9','-9','-9'
'188521320143','2','-9','-9','-9','-9','-9','-9','-9'
'188527960141','2','-9','-9','1','-9','-9','-9','1'
'188584910146','2','-9','-9','-9','-9','-9','-9','-9'
'188596530133','2','-9','-9','-9','-9','-9','-9','-9'
'188656720147','2','-9','-9','-9','-9','-9','-9','-9'
'188666980149','2','-9','-9','-9','-9','-9','-9','-9'
'188681380142','2','-9','-9','-9','-9','-9','-9','-9'
'188686370147','2','-9','-9','-9','-9','-9','-9','-9'
'188712700142','2','-9','-9','-9','-9','-9','-9','-9'
'188714920146','2','-9','-9','-9','-9','-9','-9','-9'
'188721510142','2','1','-9','-9','-9','1','-9','-9'
'188730950145','2','1','1','1','1','1','1','1'
'188763110143','2','-9','-9','-9','-9','-9','1','1'
'188764910145','2','-9','-9','-9','-9','-9','-9','-9'
'188805580146','2','-9','-9','-9','-9','-9','-9','-9'
'188816640141','2','1','-9','-9','-9','-9','1','-9'
'188826930148','2','-9','-9','-9','-9','-9','-9','-9'
'188848970140','2','-9','-9','-9','-9','-9','-9','-9'
'188883350141','2','-9','-9','-9','-9','-9','-9','-9'
'188927790146','2','-9','-9','-9','-9','-9','1','-9'
'188938700143','2','-9','-9','-9','-9','-9','-9','-9'
'188989700247','2','1','-9','-9','-9','-9','-9','-9'
'189029720145','1','-9','-9','-9','-9','-9','-9','-9'
'189037580140','2','-9','-9','1','-9','-9','-9','-9'
'189059970142','2','-9','-9','-9','-9','-9','-9','-9'
'189083900146','2','-9','-9','-9','-9','-9','1','-9'
'189107180145','2','-9','-9','-9','-9','-9','-9','-9'
'189114540142','2','-9','-9','-9','-9','-9','-9','-9'
'189115930145','2','-9','-9','-9','1','-9','-9','-9'
'189129380149','2','-9','-9','-9','-9','-9','-9','-9'
'189161790143','2','-9','-9','-9','-9','-9','-9','-9'
'189173530140','2','-9','-9','-9','-9','-9','-9','-9'
'189202300149','2','-9','-9','-9','-9','-9','-9','-9'
'189226540147','2','-9','-9','-9','-9','-9','1','-9'
'189228550149','2','-9','-9','-9','-9','-9','-9','-9'
'189236730144','2','-9','-9','-9','-9','-9','-9','-9'
'189245720141','2','-9','-9','-9','-9','-9','-9','-9'
'189282010142','2','-9','-9','-9','-9','-9','-9','-9'
'189303180146','2','-9','-9','-9','-9','-9','-9','-9'
'189351560146','2','-9','1','-9','-9','-9','-9','-9'
'189389760146','2','-9','-9','-9','-9','-9','-9','-9'
'189411390144','2','-9','-9','1','-9','-9','-9','1'
'189417150147','2','-9','-9','-9','-9','-9','-9','-9'
'189425300141','2','-9','-9','-9','-9','-9','-9','-9'
'189451590146','2','-9','-9','-9','-9','-9','-9','-9'
'189460750146','2','-9','-9','-9','-9','-9','-9','-9'
'189472150148','2','-9','-9','-9','-9','-9','-9','-9'
'189489990147','2','-9','-9','-9','-9','-9','-9','-9'
'189509120146','2','-9','-9','-9','-9','-9','-9','1'
'189524140147','2','1','-9','1','-9','-9','-9','-9'
'189548520145','2','-9','-9','-9','-9','-9','-9','-9'
'189557170141','2','1','1','1','-9','1','1','1'
'189575300246','2','-9','-9','-9','-9','-9','-9','-9'
'189596130133','2','-9','-9','-9','-9','-9','-9','-9'
'189602160141','2','-9','-9','-9','-9','-9','-9','-9'
'189607920143','2','-9','-9','-9','-9','-9','-9','-9'
'189618960147','1','-9','-9','-9','-9','-9','-9','-9'
'189622930143','2','-9','-9','-9','-9','-9','-9','-9'
'189635900147','2','-9','-9','-9','-9','-9','-9','-9'
'189653180143','2','-9','-9','-9','-9','-9','-9','1'
'189670730141','2','-9','-9','-9','-9','-9','-9','-9'
'189688300348','2','-9','-9','-9','-9','-9','-9','-9'
'189724330140','2','-9','-9','-9','-9','-9','-9','-9'
'189759700149','2','-9','-9','-9','-9','-9','-9','-9'
'189767910147','2','1','-9','-9','-9','-9','-9','-9'
'189773130148','2','1','1','-9','-9','1','-9','-9'
'189788590143','2','-9','-9','-9','-9','-9','-9','1'
'189802570149','2','-9','-9','-9','-9','-9','-9','-9'
'189813960140','2','1','-9','-9','-9','-9','1','-9'
'189932330148','2','-9','-9','-9','-9','-9','-9','-9'
'189947790148','2','-9','-9','-9','-9','-9','-9','-9'
'189976900147','2','1','-9','1','-9','-9','-9','-9'
'189979300145','2','-9','-9','-9','-9','-9','-9','-9'
'189987710145','2','-9','-9','-9','-9','-9','-9','-9'
'190583330133','2','-9','-9','-9','-9','-9','-9','-9'
'192336830133','2','-9','-9','-9','-9','-9','-9','-9'
'194053130133','2','-9','-9','-9','-9','-9','-9','-9'
'194710930133','2','-9','-9','-9','-9','1','-9','-9'
'195206730133','2','-9','-9','-9','-9','-9','-9','-9'
'195273230133','2','1','1','1','-9','1','1','1'
'195336430133','2','-9','-9','-9','-9','-9','-9','-9'
