control,XINUS,XPER,XCOND,XCOOP,XCOST,XHEAD,XREL,XTEN,XUNIT,RMOV,MOVGRP,jovgrp,jxten,jxunit,jxper,jxhead
'100451120141','-9',2,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'100452230103','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100467130103','-9',2,'3','-6','3','-9','-6','2','2',1,'1','-9','-9','-9','1','-9'
'100468130103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100468130103','-9',2,'3','-6','2','1','-6','1','1',2,'2','-9','-9','-9','-9','-9'
'100468230103','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100468510143','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100474130103','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100477130103','-9',7,'3','-6','3','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'100477230103','-9',3,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100477430103','-9',5,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100477630103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100483730143','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100489360146','-9',3,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100489430103','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'100492310148','-9',2,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100493950141','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100494230103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100494430103','-9',9,'3','-6','1','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'100494430103','-9',4,'3','-6','1','1','-6','1','1',2,'2','-9','-9','-9','-9','-9'
'100494710149','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100494730103','-9',5,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100497130103','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100502530103','-9',1,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100504230103','-9',1,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'100504330103','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','1'
'100506120345','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100508130103','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100512330103','-9',5,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','1','-9'
'100529110140','-9',2,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100529530103','-9',4,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100529530103','-9',4,'4','-6','2','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'100529630103','-9',3,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100538130103','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100538230103','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100543170146','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100546780147','-9',1,'4','-6','-7','1','-6','2','-7',1,'1','-9','1','-9','-9','1'
'100553130149','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100557130103','-9',1,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'100558540148','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100559230402','-9',4,'3','-6','1','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'100565130103','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','1'
'100570130103','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100572330103','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100574940146','-9',-7,'-7','-6','1','-7','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100575110145','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
